Timestamp,Gender ,Age ,1.     Marital Status:,  Are your parents together or separated?  ,1.     Have you experienced domestic abuse or family violence?,1.     Has a parent or close family relative or love ones  died in the last 12 months?,1.     Have you recently ended a romantic relationship?,8.     What is your highest level of education?,8.     What is your current employment status?,8.     Please indicate the highest level of schooling completed by your mother:,8.     Please indicate the highest level of schooling completed by your Father:,8.     How often do you exercise or walk ?,"8.     If given a choice between a healthy meal and junk food, which would you pick?",8.     How many times a week do you eat home-cooked meals instead of fast food?,"8.     Do you prefer sugary drinks (e.g., soda, energy drinks) over water or fresh juices?",8.     Has anyone in your family been diagnosed with psychological condition   ?,  How happy are you with your living situation?  ,8.     What field did you choose for your studies?,8.     Are you satisfied with your choice to pursue this degree program?,20.Do you consider your course load stressful?,21.Do you feel stressed about your current financial situation? Why?,  How often do you feel worried or nervous?  , Do you find yourself worrying excessively about different things, How difficult is it for you to control your worries?,"Do you experience physical symptoms like sweating, shaking, or a racing heartbeat when anxious?",  Do you feel uneasy or find it hard to relax?  ,How often do you find it hard to concentrate or focus ?,Do you avoid social situations because of fear or nervousness?,  Have you ever felt sudden fear or panic (panic attrack )?  ,"  Does your anxiety make daily life, work, or relationships harder?  "," How often do you feel like something bad is going to happen, even if there’s no clear reason?",How often do you feel sad or down?,Do you feel hopeless about the future?,  How often do you feel bad about yourself or guilty?  ,Do you enjoy the things you used to love doing?,Do you have trouble sleeping?,  Do you feel like crying more than before?  ,Do you feel restless or slowed down?,Have you had thoughts about harming yourself?,How is your energy level?,How is your appetite?,  How often have you felt upset because something unexpected happened? ,How often have you felt like you couldn’t control the important parts of your life? ,How often have you felt nervous and stressed? ,How often have you felt confident in solving your personal problems? ,How often have you felt like things were going well for you? ,  How often do you feel like you have too much to do and can't handle it?  ,How often have you been able to stay calm and control your anger when something irritated you? ,How often have you felt like you were in control of your life and responsibilities? ,How often have you felt angry because things happened that were out of your control? ,How often have you felt like your problems were too big to handle?
3/15/2025 13:16:26,Male,18-25,"Single, never married",Nuclear (Both parents live together with their children),No,No,No,In bachelors,Student + Employed,Bachelor’s,Bachelor’s,2-3 times a week,Mostly junk food,1-2 times,Often,No,High,Cs,Yes,No,"No ,bz i am stable",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/15/2025 13:17:13,Male,18-25,"Single, never married",Nuclear (Both parents live together with their children),Yes,No,Yes,In bachelors,Student + Employed,College,College,5-6 times a week,Mostly healthy meal,Almost every day,Often,No,High,Goood opportunity ,Yes,No,Not enough due to job problems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/15/2025 13:18:17,Male,26-35,Living together,Nuclear (Both parents live together with their children),No,No,No,In Master,Employed,Bachelor’s,Master’s,2-3 times a week,Always healthy meal,1-2 times,Sometimes,No,Low,Bs,some what ,yes,Alittle bit ,A few days (It happens sometimes),Most days (It happens more than half the time),Most days (It happens more than half the time),Most days (It happens more than half the time),Most days (It happens more than half the time),Most days (It happens more than half the time),Most days (It happens more than half the time),Most days (It happens more than half the time),Most days (It happens more than half the time),Most days (It happens more than half the time),Most days (It happens more than half the time),Most days (It happens more than half the time),Most days (It happens more than half the time),Most days (It happens more than half the time),Most days (It happens more than half the time),Most days (It happens more than half the time),Most days (It happens more than half the time),Most days (It happens more than half the time),Most days (It happens more than half the time),I have lost my appetite completely OR I eat too much.,Most days (It happens more than half the time),Most days (It happens more than half the time),Most days (It happens more than half the time),Most days (It happens more than half the time),Most days (It happens more than half the time),Most days (It happens more than half the time),Most days (It happens more than half the time),Most days (It happens more than half the time),Most days (It happens more than half the time),Most days (It happens more than half the time)
3/15/2025 13:20:56,Male,18-25,"Single, never married",Nuclear (Both parents live together with their children),No,No,No,In bachelors,Student + Employed,College,Bachelor’s,1-2 times a week,Mostly healthy meal,Almost every day,Never,No,Low,Cs,Yes,Yes,Alittle bit ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/15/2025 13:23:54,Male,18-25,"Single, never married",Nuclear (Both parents live together with their children),No,No,No,In bachelors,Student,Master’s,PHD,1-2 times a week,Mostly junk food,Almost every day,Sometimes,No,Very high,Computer science,Yes,Yes,"Yes, because im the only son and i have to support my father",A few days (It happens sometimes),A few days (It happens sometimes),A few days (It happens sometimes),A few days (It happens sometimes),,,,,,,,,,,,,,,"Moderate (Sometimes feel tired, but mostly okay",I do not feel hungry at all OR I overeat all the time.,,,,,,,,,,
3/15/2025 13:23:58,Female,18-25,In a relationship,Single parent,Yes,Yes,No,In bachelors,Student,Bachelor’s,College,No,Mostly junk food,Almost every day,Sometimes,Yes,Low,Pharmacy ,Yes,Yes,Due to money,Most days (It happens more than half the time),,,,,,,,,,,,,,,,,,"Moderate (Sometimes feel tired, but mostly okay",My appetite is normal.,,,,,,,,,,
3/15/2025 13:34:22,Male,18-25,"Single, never married",Nuclear (Both parents live together with their children),Yes,Yes,No,In bachelors,Student + Employed,School,MBBS RMP,3-5 times a week,Mostly healthy meal,Never,Never,No,High,ACCA,Not Degree It Certification ,Yes,N/A,A few days (It happens sometimes),A few days (It happens sometimes),Never (It doesn't happen at all),A few days (It happens sometimes),A few days (It happens sometimes),A few days (It happens sometimes),A few days (It happens sometimes),Never (It doesn't happen at all),Never (It doesn't happen at all),,A few days (It happens sometimes),Never (It doesn't happen at all),Never (It doesn't happen at all),A few days (It happens sometimes),A few days (It happens sometimes),A few days (It happens sometimes),A few days (It happens sometimes),,"Moderate (Sometimes feel tired, but mostly okay",I eat a little less than usual.,A few days (It happens sometimes),A few days (It happens sometimes),A few days (It happens sometimes),A few days (It happens sometimes),Most days (It happens more than half the time),Most days (It happens more than half the time),,,,
3/15/2025 13:36:37,Male,18-25,"Single, never married",Nuclear (Both parents live together with their children),No,No,Yes,In Master,Student + Employed,PhD,PhD,1-2 times a month,Always junk food,Almost every day,Sometimes,No,Very high,Computer Science,Yes,Yes,Kinda yes but in prospect to the future rather than present.,Most days (It happens more than half the time),Most days (It happens more than half the time),Most days (It happens more than half the time),A few days (It happens sometimes),Almost every day (It happens nearly every day),Most days (It happens more than half the time),Almost every day (It happens nearly every day),A few days (It happens sometimes),Most days (It happens more than half the time),Most days (It happens more than half the time),A few days (It happens sometimes),A few days (It happens sometimes),A few days (It happens sometimes),Most days (It happens more than half the time),Never (It doesn't happen at all),Never (It doesn't happen at all),A few days (It happens sometimes),,"Moderate (Sometimes feel tired, but mostly okay",My appetite is normal.,A few days (It happens sometimes),Most days (It happens more than half the time),A few days (It happens sometimes),Almost every day (It happens nearly every day),Most days (It happens more than half the time),Almost every day (It happens nearly every day),Most days (It happens more than half the time),A few days (It happens sometimes),Most days (It happens more than half the time),Most days (It happens more than half the time)
3/15/2025 13:36:41,Female,46-55,Married ,Passed away,No,No,No,In bachelors,Unemployed,Bachelor’s,Bachelor’s,3-5 times a week,Mostly healthy meal,Almost every day,Sometimes,Yes,Low,Psychology,No,No,"Yes, access of expensis",Almost every day (It happens nearly every day),Almost every day (It happens nearly every day),Almost every day (It happens nearly every day),Almost every day (It happens nearly every day),Almost every day (It happens nearly every day),Almost every day (It happens nearly every day),Almost every day (It happens nearly every day),Almost every day (It happens nearly every day),Almost every day (It happens nearly every day),Almost every day (It happens nearly every day),A few days (It happens sometimes),A few days (It happens sometimes),Never (It doesn't happen at all),Most days (It happens more than half the time),A few days (It happens sometimes),A few days (It happens sometimes),A few days (It happens sometimes),Almost every day (It happens nearly every day),"Low (Often feel tired, low energy)",A few days my appetite increased,Most days (It happens more than half the time),A few days (It happens sometimes),A few days (It happens sometimes),Most days (It happens more than half the time),Most days (It happens more than half the time),A few days (It happens sometimes),A few days (It happens sometimes),Most days (It happens more than half the time),Almost every day (It happens nearly every day),Almost every day (It happens nearly every day)
3/15/2025 13:57:59,Male,18-25,"Single, never married",Nuclear (Both parents live together with their children),No,No,No,In bachelors,Student,Bachelor’s,Master’s,2-3 times a week,Mostly healthy meal,Almost every day,Sometimes,No,Very high,Comp sci,Yes,No,Not stressed but because my current financial condition doesn't enable me to be financially independent so it doesn't let me rest,A few days (It happens sometimes),Never (It doesn't happen at all),A few days (It happens sometimes),Most days (It happens more than half the time),Most days (It happens more than half the time),Almost every day (It happens nearly every day),Never (It doesn't happen at all),Never (It doesn't happen at all),A few days (It happens sometimes),A few days (It happens sometimes),A few days (It happens sometimes),Never (It doesn't happen at all),A few days (It happens sometimes),A few days (It happens sometimes),A few days (It happens sometimes),A few days (It happens sometimes),Most days (It happens more than half the time),,High (Feel active and energetic most of the time),My appetite is normal.,A few days (It happens sometimes),Most days (It happens more than half the time),A few days (It happens sometimes),Almost every day (It happens nearly every day),Most days (It happens more than half the time),Most days (It happens more than half the time),Most days (It happens more than half the time),Almost every day (It happens nearly every day),A few days (It happens sometimes),Never (It doesn't happen at all)
3/15/2025 13:59:30,Male,18-25,"Single, never married",Nuclear (Both parents live together with their children),No,Yes,Yes,In bachelors,freelance,Master’s,Master’s,2-3 times a week,both,3-5 times,Always,No,Low,data science,Yes,Yes,no,Almost every day (It happens nearly every day),Almost every day (It happens nearly every day),Almost every day (It happens nearly every day),Almost every day (It happens nearly every day),Almost every day (It happens nearly every day),A few days (It happens sometimes),Never (It doesn't happen at all),Most days (It happens more than half the time),Most days (It happens more than half the time),Almost every day (It happens nearly every day),Almost every day (It happens nearly every day),Never (It doesn't happen at all),A few days (It happens sometimes),Never (It doesn't happen at all),A few days (It happens sometimes),Never (It doesn't happen at all),Most days (It happens more than half the time),,"Moderate (Sometimes feel tired, but mostly okay",I eat a little less than usual.,Almost every day (It happens nearly every day),Almost every day (It happens nearly every day),Almost every day (It happens nearly every day),Almost every day (It happens nearly every day),Most days (It happens more than half the time),Almost every day (It happens nearly every day),Most days (It happens more than half the time),Almost every day (It happens nearly every day),Most days (It happens more than half the time),Almost every day (It happens nearly every day)
3/15/2025 14:00:08,Male,18-25,"Single, never married",Nuclear (Both parents live together with their children),No,Yes,Yes,In bachelors,Unemployed,School,College,3-5 times a week,Mostly junk food,3-5 times,Often,Yes,High,Economic and mathematics,No,Yes,No,A few days (It happens sometimes),A few days (It happens sometimes),Almost every day (It happens nearly every day),"Never (It doesn't happen at all), A few days (It happens sometimes)",Never (It doesn't happen at all),A few days (It happens sometimes),A few days (It happens sometimes),Never (It doesn't happen at all),A few days (It happens sometimes),A few days (It happens sometimes),A few days (It happens sometimes),A few days (It happens sometimes),A few days (It happens sometimes),Most days (It happens more than half the time),A few days (It happens sometimes),A few days (It happens sometimes),"Never (It doesn't happen at all), A few days (It happens sometimes)",,"Moderate (Sometimes feel tired, but mostly okay",My appetite is normal.,"Never (It doesn't happen at all), A few days (It happens sometimes)",Most days (It happens more than half the time),A few days (It happens sometimes),Most days (It happens more than half the time),A few days (It happens sometimes),"Never (It doesn't happen at all), A few days (It happens sometimes)","Never (It doesn't happen at all), A few days (It happens sometimes), Most days (It happens more than half the time)","Most days (It happens more than half the time), Almost every day (It happens nearly every day)",Never (It doesn't happen at all),A few days (It happens sometimes)
3/15/2025 14:18:05,Male,18-25,"Single, never married",Nuclear (Both parents live together with their children),No,No,No,In bachelors,Student + Employed,College,Bachelor’s,5-6 times a week,Always healthy meal,Almost every day,Sometimes,Yes,High,Computer Science ,Yes,No,No,A few days (It happens sometimes),A few days (It happens sometimes),A few days (It happens sometimes),Never (It doesn't happen at all),Never (It doesn't happen at all),A few days (It happens sometimes),A few days (It happens sometimes),Never (It doesn't happen at all),A few days (It happens sometimes),A few days (It happens sometimes),A few days (It happens sometimes),Never (It doesn't happen at all),A few days (It happens sometimes),A few days (It happens sometimes),Never (It doesn't happen at all),A few days (It happens sometimes),A few days (It happens sometimes),,"Low (Often feel tired, low energy)",I eat a little less than usual.,A few days (It happens sometimes),A few days (It happens sometimes),A few days (It happens sometimes),Most days (It happens more than half the time),Most days (It happens more than half the time),A few days (It happens sometimes),Most days (It happens more than half the time),Almost every day (It happens nearly every day),A few days (It happens sometimes),A few days (It happens sometimes)
3/15/2025 14:19:56,Female,18-25,"Single, never married",Nuclear (Both parents live together with their children),No,No,No,In bachelors,Student,Bachelor’s,Bachelor’s,2-3 times a week,Mostly healthy meal,Almost every day,Sometimes,No,Very high,BSCS,Yes,No,,A few days (It happens sometimes),A few days (It happens sometimes),Never (It doesn't happen at all),A few days (It happens sometimes),Never (It doesn't happen at all),A few days (It happens sometimes),Never (It doesn't happen at all),Never (It doesn't happen at all),A few days (It happens sometimes),Never (It doesn't happen at all),A few days (It happens sometimes),Never (It doesn't happen at all),Never (It doesn't happen at all),Almost every day (It happens nearly every day),Never (It doesn't happen at all),Never (It doesn't happen at all),Never (It doesn't happen at all),,High (Feel active and energetic most of the time),I eat a little less than usual.,A few days (It happens sometimes),Never (It doesn't happen at all),Never (It doesn't happen at all),Almost every day (It happens nearly every day),Most days (It happens more than half the time),A few days (It happens sometimes),Almost every day (It happens nearly every day),Most days (It happens more than half the time),A few days (It happens sometimes),Never (It doesn't happen at all)
3/15/2025 14:20:28,Female,18-25,"Single, never married",Nuclear (Both parents live together with their children),No,No,Yes,In bachelors,Student,College,Bachelor’s,I don't,depends on my mood ,Almost every day,Sometimes,Yes,Low,Social Sciences,Yes,No,No,Most days (It happens more than half the time),Most days (It happens more than half the time),Most days (It happens more than half the time),Most days (It happens more than half the time),Most days (It happens more than half the time),Almost every day (It happens nearly every day),A few days (It happens sometimes),A few days (It happens sometimes),A few days (It happens sometimes),A few days (It happens sometimes),A few days (It happens sometimes),A few days (It happens sometimes),A few days (It happens sometimes),A few days (It happens sometimes),Most days (It happens more than half the time),A few days (It happens sometimes),Most days (It happens more than half the time),,"Moderate (Sometimes feel tired, but mostly okay",My appetite is normal.,A few days (It happens sometimes),A few days (It happens sometimes),Almost every day (It happens nearly every day),Never (It doesn't happen at all),A few days (It happens sometimes),Most days (It happens more than half the time),Almost every day (It happens nearly every day),Most days (It happens more than half the time),Almost every day (It happens nearly every day),Most days (It happens more than half the time)
3/15/2025 14:23:45,Male,18-25,"Single, never married",Nuclear (Both parents live together with their children),No,No,No,In bachelors,Unemployed,Master’s,PhD ,3-5 times a week,Mostly healthy meal,Almost every day,Never,no but they both definitely have some mental illness i am 100% sure,I'm happy but living in a desi household is hard and takes a toll on your mental health,Computer sciences,Yes,Yes,not really stressed. my parents take care of all my essential needs and i take care of my own personal needs. but obviously i would love more money to have at my disposal.,Almost every day (It happens nearly every day),Almost every day (It happens nearly every day),Most days (It happens more than half the time),A few days (It happens sometimes),Almost every day (It happens nearly every day),Almost every day (It happens nearly every day),A few days (It happens sometimes),A few days (It happens sometimes),Most days (It happens more than half the time),Almost every day (It happens nearly every day),Most days (It happens more than half the time),Most days (It happens more than half the time),Almost every day (It happens nearly every day),A few days (It happens sometimes),A few days (It happens sometimes),A few days (It happens sometimes),Almost every day (It happens nearly every day),,"Moderate (Sometimes feel tired, but mostly okay",it's mostly fine but when i am going through a tough time i either eat too much or nothing at all,Most days (It happens more than half the time),Almost every day (It happens nearly every day),Almost every day (It happens nearly every day),A few days (It happens sometimes),A few days (It happens sometimes),Almost every day (It happens nearly every day),Most days (It happens more than half the time),A few days (It happens sometimes),Almost every day (It happens nearly every day),Most days (It happens more than half the time)
3/15/2025 14:31:43,Female,18-25,"Single, never married",Single parent,No,Yes,No,Collage,Student + Employed,B com,College,Daily ,Mostly junk food,Almost every day,Often,No,High,BS(FinTech),Yes,Yes,Yes,A few days (It happens sometimes),Most days (It happens more than half the time),A few days (It happens sometimes),Most days (It happens more than half the time),Most days (It happens more than half the time),Most days (It happens more than half the time),A few days (It happens sometimes),A few days (It happens sometimes),Most days (It happens more than half the time),A few days (It happens sometimes),A few days (It happens sometimes),Never (It doesn't happen at all),A few days (It happens sometimes),Almost every day (It happens nearly every day),A few days (It happens sometimes),Never (It doesn't happen at all),A few days (It happens sometimes),,"Moderate (Sometimes feel tired, but mostly okay",My appetite is normal.,Most days (It happens more than half the time),A few days (It happens sometimes),A few days (It happens sometimes),Most days (It happens more than half the time),Most days (It happens more than half the time),A few days (It happens sometimes),Most days (It happens more than half the time),Most days (It happens more than half the time),Never (It doesn't happen at all),Never (It doesn't happen at all)
3/15/2025 14:35:27,Male,18-25,"Single, never married",Nuclear (Both parents live together with their children),Yes,Yes,No,In bachelors,Student,Master’s,Bachelor’s,5-6 times a week,Mostly healthy meal,Almost every day,Always,No,High,Computer science ,No,Yes,Yes cus I'm unemployed whilst a student ,A few days (It happens sometimes),A few days (It happens sometimes),Most days (It happens more than half the time),A few days (It happens sometimes),Most days (It happens more than half the time),A few days (It happens sometimes),A few days (It happens sometimes),Never (It doesn't happen at all),A few days (It happens sometimes),A few days (It happens sometimes),Most days (It happens more than half the time),Most days (It happens more than half the time),A few days (It happens sometimes),A few days (It happens sometimes),A few days (It happens sometimes),Never (It doesn't happen at all),Most days (It happens more than half the time),,"Low (Often feel tired, low energy)",My appetite is normal.,Most days (It happens more than half the time),Most days (It happens more than half the time),A few days (It happens sometimes),Most days (It happens more than half the time),A few days (It happens sometimes),Most days (It happens more than half the time),Almost every day (It happens nearly every day),A few days (It happens sometimes),Almost every day (It happens nearly every day),A few days (It happens sometimes)
3/15/2025 14:46:54,Male,18-25,"Single, never married",Nuclear (Both parents live together with their children),No,Yes,No,In bachelors,Student,School,School,1-2 times a week,Mostly healthy meal,Almost every day,Sometimes,No,High,Ai,Yes,Yes,No ,Never (It doesn't happen at all),A few days (It happens sometimes),A few days (It happens sometimes),Never (It doesn't happen at all),A few days (It happens sometimes),A few days (It happens sometimes),Never (It doesn't happen at all),Never (It doesn't happen at all),A few days (It happens sometimes),A few days (It happens sometimes),A few days (It happens sometimes),Never (It doesn't happen at all),Never (It doesn't happen at all),A few days (It happens sometimes),Never (It doesn't happen at all),Never (It doesn't happen at all),A few days (It happens sometimes),,"Moderate (Sometimes feel tired, but mostly okay",My appetite is normal.,A few days (It happens sometimes),A few days (It happens sometimes),A few days (It happens sometimes),A few days (It happens sometimes),A few days (It happens sometimes),Most days (It happens more than half the time),A few days (It happens sometimes),A few days (It happens sometimes),A few days (It happens sometimes),A few days (It happens sometimes)
3/15/2025 14:49:45,Male,18-25,"Single, never married",Nuclear (Both parents live together with their children),No,No,No,In bachelors,Student,College,College,1-2 times a week,Mostly healthy meal,only once a month dinner outside home,Never,No,High,CS,Yes,Yes,"Yes, Asking money from parents feels illegal",Never (It doesn't happen at all),A few days (It happens sometimes),Never (It doesn't happen at all),Never (It doesn't happen at all),Never (It doesn't happen at all),Never (It doesn't happen at all),A few days (It happens sometimes),Never (It doesn't happen at all),Never (It doesn't happen at all),A few days (It happens sometimes),Never (It doesn't happen at all),A few days (It happens sometimes),Never (It doesn't happen at all),Almost every day (It happens nearly every day),Never (It doesn't happen at all),Never (It doesn't happen at all),Never (It doesn't happen at all),,"Moderate (Sometimes feel tired, but mostly okay",My appetite is normal.,Never (It doesn't happen at all),Never (It doesn't happen at all),Never (It doesn't happen at all),Most days (It happens more than half the time),A few days (It happens sometimes),Most days (It happens more than half the time),Almost every day (It happens nearly every day),Most days (It happens more than half the time),Never (It doesn't happen at all),Never (It doesn't happen at all)
3/15/2025 15:21:46,Male,18-25,"Single, never married",Nuclear (Both parents live together with their children),No,No,No,In bachelors,Student,Bachelor’s,Bachelor’s,2-3 times a week,Mostly junk food,Almost every day,Sometimes,No,High,ACCA,Yes,Yes,No,A few days (It happens sometimes),Most days (It happens more than half the time),A few days (It happens sometimes),Never (It doesn't happen at all),A few days (It happens sometimes),A few days (It happens sometimes),Almost every day (It happens nearly every day),Never (It doesn't happen at all),A few days (It happens sometimes),A few days (It happens sometimes),A few days (It happens sometimes),A few days (It happens sometimes),A few days (It happens sometimes),A few days (It happens sometimes),Never (It doesn't happen at all),Never (It doesn't happen at all),Almost every day (It happens nearly every day),,"Low (Often feel tired, low energy)",My appetite is normal.,Never (It doesn't happen at all),Most days (It happens more than half the time),A few days (It happens sometimes),A few days (It happens sometimes),Never (It doesn't happen at all),A few days (It happens sometimes),Most days (It happens more than half the time),A few days (It happens sometimes),A few days (It happens sometimes),A few days (It happens sometimes)
3/15/2025 15:45:52,Male,18-25,"Single, never married",Nuclear (Both parents live together with their children),No,No,No,In bachelors,Student,Bachelor’s,College,1-2 times a week,Mostly healthy meal,Almost every day,Sometimes,No,High,Software Engineering,"Kind of satisfied, but not entirely satisfied.",Yes,I want to be able to support my family and bear my own financial burdens,A few days (It happens sometimes),A few days (It happens sometimes),A few days (It happens sometimes),A few days (It happens sometimes),Most days (It happens more than half the time),Most days (It happens more than half the time),Never (It doesn't happen at all),Never (It doesn't happen at all),A few days (It happens sometimes),Never (It doesn't happen at all),A few days (It happens sometimes),A few days (It happens sometimes),Most days (It happens more than half the time),A few days (It happens sometimes),A few days (It happens sometimes),Never (It doesn't happen at all),Most days (It happens more than half the time),Never (It doesn't happen at all),"Moderate (Sometimes feel tired, but mostly okay",I eat a little less than usual.,Most days (It happens more than half the time),Almost every day (It happens nearly every day),A few days (It happens sometimes),A few days (It happens sometimes),A few days (It happens sometimes),A few days (It happens sometimes),Most days (It happens more than half the time),A few days (It happens sometimes),Most days (It happens more than half the time),A few days (It happens sometimes)
3/15/2025 16:04:33,Male,18-25,"Single, never married",Nuclear (Both parents live together with their children),No,No,No,In bachelors,Student,College,Bachelor’s,2-3 times a week,Mostly healthy meal,Almost every day,Often,No,Very happy,CS,Yes,No,Yes,A few days (It happens sometimes),A few days (It happens sometimes),A few days (It happens sometimes),A few days (It happens sometimes),Most days (It happens more than half the time),Most days (It happens more than half the time),A few days (It happens sometimes),Never (It doesn't happen at all),A few days (It happens sometimes),A few days (It happens sometimes),A few days (It happens sometimes),A few days (It happens sometimes),A few days (It happens sometimes),Most days (It happens more than half the time),A few days (It happens sometimes),A few days (It happens sometimes),A few days (It happens sometimes),A few days (It happens sometimes),"Moderate (Sometimes feel tired, but mostly okay",I have lost my appetite completely OR I eat too much.,A few days (It happens sometimes),Most days (It happens more than half the time),Most days (It happens more than half the time),Most days (It happens more than half the time),Most days (It happens more than half the time),Most days (It happens more than half the time),Most days (It happens more than half the time),Most days (It happens more than half the time),Most days (It happens more than half the time),A few days (It happens sometimes)
